"AP1","AP2","AP3","AP4","AP5","AP6","Class"
"-73","-75","-74","-54","-51","-31","19"
"-71","-73","-75","-54","-52","-33","19"
"-73","-74","-75","-54","-51","-33","19"
"-73","-72","-75","-55","-52","-33","19"
"-74","-74","-74","-55","-50","-33","19"
"-73","-73","-75","-54","-50","-34","19"
"-73","-72","-74","-54","-54","-34","19"
"-75","-70","-74","-54","-50","-32","19"
"-73","-72","-74","-53","-51","-34","19"
"-72","-72","-73","-52","-55","-42","19"
"-73","-72","-73","-55","-45","-32","19"
"-72","-71","-73","-52","-49","-32","19"
"-71","-72","-74","-53","-49","-32","19"
"-71","-69","-73","-54","-52","-31","19"
"-71","-72","-73","-53","-49","-33","19"
"-72","-70","-73","-51","-49","-32","19"
"-71","-71","-74","-54","-50","-33","19"
"-71","-71","-74","-52","-45","-33","19"
"-73","-73","-75","-54","-54","-33","19"
"-72","-71","-75","-52","-51","-33","19"
"-73","-72","-74","-54","-48","-32","19"
"-73","-72","-74","-54","-50","-33","19"
"-73","-71","-73","-53","-46","-33","19"
"-71","-73","-73","-50","-47","-31","19"
"-74","-68","-67","-50","-50","-39","20"
"-75","-68","-67","-50","-52","-40","20"
"-72","-70","-64","-51","-51","-39","20"
"-71","-66","-65","-52","-49","-40","20"
"-72","-68","-67","-52","-53","-39","20"
"-70","-67","-65","-49","-50","-38","20"
"-71","-68","-65","-51","-48","-44","20"
"-71","-66","-65","-52","-50","-37","20"
"-73","-67","-66","-50","-50","-39","20"
"-71","-68","-65","-51","-50","-38","20"
"-71","-68","-66","-50","-50","-38","20"
"-71","-67","-66","-49","-50","-37","20"
"-74","-67","-66","-50","-51","-39","20"
"-70","-68","-66","-50","-50","-39","20"
"-70","-69","-66","-49","-52","-40","20"
"-74","-68","-66","-50","-50","-37","20"
"-71","-67","-66","-51","-50","-40","20"
"-71","-67","-66","-49","-48","-39","20"
"-71","-68","-66","-49","-50","-36","20"
"-70","-66","-66","-51","-49","-37","20"
"-73","-69","-62","-52","-51","-41","20"
"-69","-66","-66","-48","-50","-39","20"
"-72","-66","-64","-50","-49","-37","20"
"-70","-67","-65","-49","-51","-36","20"
"-70","-67","-66","-50","-47","-37","20"
"-71","-68","-66","-50","-50","-39","20"
"-71","-67","-65","-53","-53","-44","20"
"-73","-68","-66","-50","-51","-35","20"
"-73","-68","-66","-48","-50","-39","20"
"-71","-67","-66","-50","-49","-39","20"
"-70","-67","-66","-49","-49","-38","20"
"-73","-66","-66","-50","-50","-40","20"
"-72","-68","-65","-51","-50","-72","20"
"-71","-68","-66","-50","-49","-38","20"
"-70","-70","-65","-50","-42","-39","20"
